ensembl_peptide_id	entrezgene_id
ENSP00000242592	35
ENSP00000231487	6500
ENSP00000011292	1357
ENSP00000261868	8669
ENSP00000245796	23550
ENSP00000261937	2324
ENSP00000202773	6128
ENSP00000258428	51455
ENSP00000225567	9570
ENSP00000248114	2671
ENSP00000220772	6422
ENSP00000253452	1327
ENSP00000219596	4210
ENSP00000259607	6366
ENSP00000221494	8175
ENSP00000221496	268
ENSP00000258052	6610
ENSP00000221801	2091
ENSP00000250160	8840
ENSP00000259455	9568
ENSP00000230122	9841
ENSP00000251809	6674
ENSP00000233957	8809
ENSP00000161863	64848
ENSP00000219548	10273
ENSP00000001146	56603
ENSP00000220062	51285
ENSP00000234296	4999
ENSP00000237889	4709
ENSP00000260363	9493
ENSP00000260605	51626
ENSP00000000233	381
ENSP00000232607	7372
ENSP00000230895	1611
ENSP00000244520	6631
ENSP00000261839	55930
ENSP00000252071	653857
ENSP00000262177	10049
ENSP00000254190	22856
ENSP00000230990	1839
ENSP00000231061	6678
ENSP00000199936	3294
ENSP00000258169	10200
ENSP00000233627	374291
ENSP00000226247	8456
ENSP00000229769	2178
ENSP00000230085	8724
ENSP00000193322	28962
ENSP00000260443	51187
ENSP00000244227	11017
ENSP00000053243	608
ENSP00000219271	4324
ENSP00000260361	51103
ENSP00000168977	27231
ENSP00000225275	4353
ENSP00000225504	6827
ENSP00000220166	1512
ENSP00000241436	51426
ENSP00000222982	1577
ENSP00000262319	9894
ENSP00000228307	5829
ENSP00000243349	130399
ENSP00000261837	10681
ENSP00000237858	2745
ENSP00000215530	27006
ENSP00000220429	2553
ENSP00000166139	10272
ENSP00000249504	3237
ENSP00000249440	3232
ENSP00000242728	79365
ENSP00000222120	9545
ENSP00000221847	10148
ENSP00000252599	79709
ENSP00000248437	7277
ENSP00000228434	969
ENSP00000239347	3444
ENSP00000253024	10155
ENSP00000257497	301
ENSP00000253023	9040
ENSP00000246529	79414
ENSP00000258969	1101
ENSP00000249363	64101
ENSP00000240139	5533
ENSP00000259750	84630
ENSP00000012134	3097
ENSP00000223210	643641
ENSP00000219169	10204
ENSP00000221233	56915
ENSP00000244458	29993
ENSP00000187397	10777
ENSP00000256644	10542
ENSP00000252809	9518
ENSP00000259486	5168
ENSP00000260302	4322
ENSP00000199389	27102
ENSP00000262215	10565
ENSP00000228843	10635
ENSP00000262187	6009
ENSP00000249700	29767
ENSP00000010132	8798
ENSP00000228850	10566
ENSP00000261514	1182
ENSP00000155926	28951
ENSP00000262053	466
ENSP00000229335	57379
ENSP00000162391	55810
ENSP00000247992	391013
ENSP00000229332	50856
ENSP00000234071	5624
ENSP00000222800	83451
ENSP00000246553	2864
ENSP00000245907	718
ENSP00000262305	9727
ENSP00000257951	3890
ENSP00000257974	3888
ENSP00000252245	9119
ENSP00000252252	3854
ENSP00000252250	286887
ENSP00000252242	3852
ENSP00000261427	3093
ENSP00000234091	3398
ENSP00000218758	54
ENSP00000256707	57498
ENSP00000243389	206358
ENSP00000261435	55728
ENSP00000234347	5657
ENSP00000228510	4598
ENSP00000231572	5917
ENSP00000240687	50837
ENSP00000240615	50836
ENSP00000240691	50835
ENSP00000220913	54108
ENSP00000221856	79187
ENSP00000220849	3646
ENSP00000234371	84634
ENSP00000243673	10888
ENSP00000203556	51291
ENSP00000247986	57576
ENSP00000222543	7980
ENSP00000162749	7132
ENSP00000219782	4150
ENSP00000248564	2791
ENSP00000222547	10282
ENSP00000242152	4852
ENSP00000219069	10127
